Period Ended,Total Revenue,Gross Profit,Operating Income
31-12-2015,4501.20,1951.70,776.80
31-12-2014,4108.30,1782.90,717.80
31-12-2013,3214.60,1401.30,539.50
31-12-2012,2731.20,1198.40,460.90
31-12-2011,2269.50,987.70,356.40
