Period Ended,Total Revenue,Gross Profit,Operating Income
2015-06-30,93580.00,60542.00,18161.00
2014-06-30,86833.00,59755.00,27759.00
2013-06-30,77849.00,57464.00,26764.00
2012-06-30,73723.00,56193.00,21763.00
2011-06-30,69943.00,54366.00,27161.00
