Period Ended,Total Revenue,Gross Profit,Operating Income
2015-12-31,107006.00,35355.00,33122.00
2014-12-31,88988.00,26236.00,26058.00
2013-12-31,74452.00,20271.00,19526.00
2012-12-31,61093.00,15122.00,14446.00
2011-12-31,48077.00,10789.00,9927.00
